car_name,Kms_driven,fuel_type,Transmission,Ownership,Manufacture,Engine_cc,Seats,car_prices_in_rupee,Price_in_rupees
Hyundai Venue SX Plus Turbo DCT BSIV,31952,Petrol,Automatic,1,2019,998,5,10.46 Lakh,1046000
Hyundai Creta 1.6 CRDi SX,66518,Diesel,Manual,2,2019,1582,5,11.30 Lakh,1130000
Hyundai Venue SX Plus Turbo DCT BSIV,26684,Petrol,Automatic,2,2019,1199,5,10.53 Lakh,1053000
Hyundai Creta 1.6 CRDi SX,38280,Diesel,Manual,1,2015,1197,5,7.90 Lakh,790000
Tata Tiago 1.2 Revotron XZ,96392,Petrol,Manual,1,2017,2179,7,3.77 Lakh,377000
Maruti Swift Dzire 1.2 ZXi BSIV,92613,Petrol,Manual,1,2011,1498,5,2.86 Lakh,286000
Mahindra Scorpio S7 120,40011,Diesel,Manual,1,2018,1396,5,11.78 Lakh,1178000
Honda City i DTEC VX,98772,Diesel,Manual,2,2015,1248,5,5.33 Lakh,533000
Hyundai i20 Asta 1.4 CRDi,38931,Diesel,Manual,1,2013,1396,5,3.50 Lakh,350000
Maruti Swift LDI BSIV,82392,Diesel,Manual,1,2017,2179,7,4.27 Lakh,427000
Hyundai i20 1.4 Asta,96805,Diesel,Manual,1,2017,998,5,5.72 Lakh,572000
Mahindra Scorpio S5 BSIV,68307,Diesel,Manual,1,2018,1197,5,9.98 Lakh,998000
Maruti Wagon R LXI BS IV,30404,Petrol,Manual,1,2016,1248,5,3.75 Lakh,375000
Maruti Baleno 1.2 Alpha,36438,Petrol,Manual,2,2018,2179,7,6.30 Lakh,630000
Maruti Swift VDI BSIV,115206,Diesel,Manual,1,2015,1451,5,3.76 Lakh,376000
Mahindra XUV500 W6 2WD,104537,Diesel,Manual,1,2015,2755,7,6.23 Lakh,623000
MG Hector Sharp DCT,29827,Petrol,Automatic,2,2019,1968,5,16.13 Lakh,1613000
Toyota Innova Crysta 2.8 GX AT BSIV,55000,Diesel,Automatic,1,2017,3198,7,15.75 Lakh,1575000
Audi A6 35 TDI,68000,Diesel,Automatic,1,2016,2755,7,24.50 Lakh,2450000
Ford Endeavour 3.2 Titanium AT 4X4,80000,Diesel,Automatic,1,2018,814,5,28.75 Lakh,2875000
Toyota Innova Crysta 2.8 GX AT BSIV,55000,Diesel,Automatic,1,2019,1497,5,19.45 Lakh,1945000
Hyundai EON Era Plus,67885,Petrol,Manual,1,2013,998,5,2.30 Lakh,230000
Kia Seltos HTX IVT G,28000,Petrol,Automatic,1,2021,1197,5,16.50 Lakh,1650000
Hyundai EON 1.0 Era Plus,48421,Petrol,Manual,1,2013,1582,5,2.30 Lakh,230000
Maruti Swift Dzire VXI,49000,Petrol,Manual,1,2014,1995,5,4.25 Lakh,425000
Hyundai Verna 1.6 SX,75000,Diesel,Manual,1,2013,1198,5,4.50 Lakh,450000
BMW 5 Series 520d Sport Line,55000,Diesel,Automatic,2,2018,1493,5,40.50 Lakh,4050000
Honda Amaze S Option i-VTEC,6357,Petrol,Manual,1,2017,1199,5,4.71 Lakh,471000
Hyundai Venue SX Opt Executive Diesel,24237,Diesel,Manual,1,2022,2755,7,10.24 Lakh,1024000
Honda Amaze E Petrol,10282,Petrol,Manual,1,2020,1396,5,5.89 Lakh,589000
Toyota Innova Crysta 2.8 ZX AT BSIV,111337,Diesel,Automatic,1,2018,1582,5,17.10 Lakh,1710000
Hyundai Venue SX Opt Diesel BSIV,64104,Diesel,Manual,1,2019,1968,5,9.82 Lakh,982000
Hyundai Verna 1.6 CRDi SX,42234,Diesel,Manual,2,2016,1197,5,5.60 Lakh,560000
Audi Q5 30 TDI quattro Premium,80000,Diesel,Automatic,3,2015,1197,5,14.75 Lakh,1475000
Maruti Ignis Sigma,2294,Petrol,Manual,1,2022,1396,5,5.02 Lakh,502000
Maruti Baleno Delta,38736,Petrol,Manual,1,2020,998,5,6.31 Lakh,631000
Hyundai i20 Asta 1.4 CRDi,130432,Diesel,Manual,1,2014,2694,7,3.81 Lakh,381000
Hyundai Venue SX Opt iMT,10000,Petrol,Manual,1,2021,2967,5,11.50 Lakh,1150000
Toyota Fortuner 2.7 2WD AT,44000,Petrol,Automatic,2,2019,1086,5,31 Lakh,3100000
Audi Q5 3.0 TDI Quattro,68000,Diesel,Automatic,3,2011,2967,5,9.95 Lakh,995000
Hyundai i10 Magna 1.1L,38000,Petrol,Manual,1,2011,1197,5,2.25 Lakh,225000
Audi Q5 3.0 TDI Quattro Technology,35000,Diesel,Automatic,1,2015,2179,7,21 Lakh,2100000
Maruti Swift Dzire VXI 1.2 BS IV,65000,Petrol,Manual,1,2019,1582,5,6.50 Lakh,650000
Mahindra Scorpio S5,12001,Diesel,Manual,1,2022,2967,7,15.85 Lakh,1585000
Hyundai Creta 1.6 SX Automatic Diesel,36000,Diesel,Automatic,2,2020,1969,5,14.25 Lakh,1425000
Audi Q7 45 TDI Quattro Premium Plus,43000,Diesel,Automatic,2,2014,1968,5,18.75 Lakh,1875000
Volvo XC60 Inscription D5,7500,Diesel,Automatic,1,2020,1798,5,60 Lakh,6000000
Audi Q3 2.0 TDI Quattro Premium Plus,56500,Diesel,Automatic,1,2014,1582,5,13 Lakh,1300000
Audi A6 35 TFSI Matrix,30000,Petrol,Automatic,1,2018,1950,5,36.75 Lakh,3675000
Hyundai Verna CRDi 1.6 AT SX Plus,63500,Diesel,Automatic,1,2017,1995,5,10 Lakh,1000000
Mercedes-Benz C-Class Progressive C 220d,26500,Diesel,Automatic,1,2019,2179,7,41 Lakh,4100000
BMW X1 xDrive 20d xLine,38500,Diesel,Automatic,1,2018,1498,5,28.50 Lakh,2850000
Mahindra XUV500 R W10 FWD,65000,Diesel,Manual,1,2015,1493,5,8.90 Lakh,890000
Honda Amaze VX CVT Diesel,44500,Diesel,Automatic,1,2019,2993,5,9.25 Lakh,925000
Hyundai i20 Sportz Diesel,15500,Diesel,Manual,1,2022,1991,5,9.75 Lakh,975000
BMW X5 xDrive 30d xLine,20500,Diesel,Automatic,1,2022,1995,5,1 Crore,10000000
Mercedes-Benz E-Class Expression E 200 BSIV,65000,Petrol,Automatic,1,2018,2143,5,44 Lakh,4400000
BMW 3 Series 320d GT Luxury Line,64593,Diesel,Automatic,3,2014,2755,7,18.50 Lakh,1850000
Mercedes-Benz E-Class E250 CDI Avantgarde,63203,Diesel,Automatic,2,2015,1995,4,22 Lakh,2200000
Toyota Fortuner 2.8 2WD AT,60500,Diesel,Automatic,1,2017,1248,7,29 Lakh,2900000
BMW 6 Series GT 620d Luxury Line 2019-2021,50000,Diesel,Automatic,1,2020,796,5,60.50 Lakh,6050000
Maruti Ertiga ZDI,43000,Diesel,Manual,2,2014,2987,7,6 Lakh,600000
Maruti Alto 800 LXI,31458,Petrol,Manual,1,2021,1582,5,3.07 Lakh,307000
Mercedes-Benz GLS 350d 4MATIC,70000,Diesel,Automatic,2,2016,998,5,52 Lakh,5200000
Hyundai Elantra CRDi S,70372,Diesel,Manual,1,2013,624,4,5.25 Lakh,525000
Maruti Wagon R LXI CNG,129325,Cng,Manual,1,2012,1991,5,1.90 Lakh,190000
Tata Nano Twist XT,59290,Petrol,Manual,4,2015,2993,5,"85,671",85671
Mercedes-Benz GLC 200,15000,Petrol,Automatic,1,2021,1968,5,61 Lakh,6100000
BMW X6 xDrive 40d M Sport,75000,Diesel,Automatic,2,2015,2143,5,37.90 Lakh,3790000
Audi Q5 2.0 TDI Premium Plus,94002,Diesel,Automatic,2,2014,2494,5,16 Lakh,1600000
Mercedes-Benz C-Class C 220 CDI Avantgarde,90004,Diesel,Automatic,3,2014,2993,5,11.90 Lakh,1190000
Toyota Camry 2.5 Hybrid,47000,Petrol,Automatic,1,2017,1498,5,23.50 Lakh,2350000
BMW X5 xDrive 30d M Sport,83005,Diesel,Automatic,2,2014,1595,5,29 Lakh,2900000
Ford Ecosport 1.5 Diesel Titanium,62500,Diesel,Manual,1,2015,2143,5,4.75 Lakh,475000
Mercedes-Benz B Class B180 Sports,67000,Petrol,Automatic,2,2013,1197,5,12.90 Lakh,1290000
Mercedes-Benz GLE 250d,64000,Diesel,Automatic,1,2016,2967,4,36.50 Lakh,3650000
Maruti Swift ZXI BSIV,39889,Petrol,Manual,2,2017,1997,5,4.41 Lakh,441000
Audi A8 L 50 TDI Quattro Premium Plus,81250,Diesel,Automatic,1,2015,1498,5,42 Lakh,4200000
Jaguar F-Pace 2.0 R-Dynamic S Diesel,9900,Diesel,Automatic,1,2021,1498,5,74 Lakh,7400000
Ford Ecosport 1.5 Diesel Titanium Plus,43000,Diesel,Manual,1,2016,1998,5,5.25 Lakh,525000
MG Astor Sharp CVT,2400,Petrol,Automatic,1,2022,2993,4,17.25 Lakh,1725000
BMW X4 xDrive30i M Sport Silver Shadow Edition,7600,Petrol,Automatic,1,2022,1798,5,74.50 Lakh,7450000
Jaguar XJ 3.0L LWB Ultimate,79004,Diesel,Automatic,2,2012,2143,5,22.90 Lakh,2290000
Toyota Corolla Altis VL AT,99300,Petrol,Automatic,2,2015,2987,5,8.75 Lakh,875000
Mercedes-Benz M-Class ML 250 CDI,80000,Diesel,Automatic,2,2014,4367,5,21.90 Lakh,2190000
Mercedes-Benz S-Class S 350 CDI,40000,Diesel,Automatic,1,2015,1968,5,51 Lakh,5100000
Land Rover Range Rover Vogue SE 4.4 SDV8,87002,Diesel,Automatic,2,2013,1968,5,35.25 Lakh,3525000
Audi Q5 2.0 TDI Premium Plus,94002,Diesel,Automatic,2,2013,2487,5,14.25 Lakh,1425000
Audi A6 2.0 TDI Premium Plus,82005,Diesel,Automatic,2,2013,4367,5,14.25 Lakh,1425000
Toyota Camry Hybrid 2.5,20000,Petrol,Automatic,1,2019,1998,5,40.90 Lakh,4090000
Land Rover Range Rover Vogue SE 4.4 SDV8,95004,Diesel,Automatic,1,2013,1498,5,39.75 Lakh,3975000
BMW X1 sDrive20i xLine,68753,Petrol,Automatic,2,2019,1956,5,28.10 Lakh,2810000
Ford Ecosport 1.5 DV5 MT Titanium,62500,Diesel,Manual,1,2015,1582,5,4.75 Lakh,475000
Jeep Compass 2.0 Sport Plus BSIV,62000,Diesel,Manual,1,2019,1498,5,15.75 Lakh,1575000
Hyundai Creta 1.6 CRDi AT S Plus,85000,Diesel,Automatic,1,2017,1248,5,8.95 Lakh,895000
Honda WR-V i-DTEC VX,58000,Diesel,Manual,1,2017,2143,5,6.99 Lakh,699000
Maruti Baleno 1.3 Zeta,55500,Diesel,Manual,1,2018,1248,5,6.20 Lakh,620000
Mercedes-Benz GLE 250d,49000,Diesel,Automatic,1,2017,1956,5,44 Lakh,4400000
Maruti Baleno 1.3 Zeta,54000,Diesel,Manual,1,2018,1956,5,6.25 Lakh,625000
Tata Harrier XM,32500,Diesel,Manual,1,2019,1950,5,12.50 Lakh,1250000
Tata Harrier XM,33500,Diesel,Manual,1,2019,0,5,12.60 Lakh,1260000
Mercedes-Benz E-Class Expression E 220 d BSIV,17000,Diesel,Automatic,1,2020,1950,5,58 Lakh,5800000
MG ZS EV Exclusive,38000,Electric,Automatic,1,2020,1950,5,21.10 Lakh,2110000
Mercedes-Benz C-Class Progressive C 200,16500,Petrol,Automatic,1,2018,1998,5,36.50 Lakh,3650000
Mercedes-Benz E-Class Exclusive E 220d,2000,Diesel,Automatic,1,2022,1950,5,76.25 Lakh,7625000
Mini Cooper D,29000,Diesel,Automatic,2,2014,1197,5,18.90 Lakh,1890000
Mercedes-Benz C-Class Progressive C 220d,24000,Diesel,Automatic,2,2020,1995,5,39 Lakh,3900000
Maruti Swift LXI,37229,Petrol,Manual,1,2020,2179,7,4.83 Lakh,483000
BMW X3 xDrive 20d Luxury Line,19000,Diesel,Automatic,1,2021,1968,5,60 Lakh,6000000
Mahindra XUV500 W6 2WD,90928,Diesel,Manual,1,2013,1373,7,4.31 Lakh,431000
Audi A3 35 TDI Premium Plus,39000,Diesel,Automatic,1,2020,1950,5,25.80 Lakh,2580000
Maruti Ertiga VXI CNG,44000,Cng,Manual,1,2016,1399,5,7.25 Lakh,725000
Mercedes-Benz C-Class Progressive C 200,12000,Petrol,Automatic,1,2021,1497,5,49.90 Lakh,4990000
Ford Figo Diesel Titanium,86483,Diesel,Manual,3,2014,1598,5,1.93 Lakh,193000
Honda City Edge Edition SV,20000,Petrol,Manual,1,2019,1950,5,9 Lakh,900000
Renault Duster Petrol RxL,49000,Petrol,Manual,2,2017,2755,7,5.75 Lakh,575000
Mercedes-Benz C-Class Progressive C 200,12000,Petrol,Automatic,1,2021,1197,5,47.90 Lakh,4790000
Toyota Innova Crysta 2.8 GX AT BSIV,26000,Diesel,Automatic,1,2018,1248,5,18.75 Lakh,1875000
Toyota Glanza G,40252,Petrol,Manual,1,2020,1997,5,6.06 Lakh,606000
Maruti Swift VDI BSIV,97947,Diesel,Manual,2,2014,1582,5,3.23 Lakh,323000
Land Rover Range Rover Velar R-Dynamic S Petrol MY21,38000,Petrol,Automatic,1,2020,1197,5,85 Lakh,8500000
Hyundai Creta 1.6 CRDi AT SX Plus,150715,Diesel,Automatic,1,2015,1968,5,7.16 Lakh,716000
Hyundai i10 Sportz,102820,Petrol,Manual,1,2010,1996,7,1.58 Lakh,158000
Skoda New Laura Ambiente 2.0 TDI CR AT,109403,Diesel,Automatic,3,2012,1462,7,2.53 Lakh,253000
MG Gloster Savvy 7-Str,11000,Diesel,Automatic,2,2021,1197,5,39.65 Lakh,3965000
Maruti Ertiga VXI AT,37377,Petrol,Automatic,1,2019,1461,5,8.58 Lakh,858000
Maruti Swift Dzire VXI,84728,Petrol,Manual,2,2015,1969,5,3.67 Lakh,367000
Renault Duster 85PS Diesel RxE,53548,Diesel,Manual,2,2013,1968,5,3.24 Lakh,324000
Volvo S90 D4 Inscription BSIV,20000,Diesel,Automatic,1,2018,1197,5,44.75 Lakh,4475000
Audi A6 2.0 TDI,29397,Diesel,Automatic,1,2014,1997,7,16.19 Lakh,1619000
Hyundai Grand i10 Asta,30346,Petrol,Manual,1,2016,1248,5,4.06 Lakh,406000
Mahindra XUV500 W10 1.99 mHawk,42119,Diesel,Manual,1,2017,1248,5,10.63 Lakh,1063000
Maruti Swift Dzire VDI,120450,Diesel,Manual,2,2014,1451,5,3.27 Lakh,327000
Maruti Swift LDI BSIV,148393,Diesel,Manual,3,2014,2993,5,2.67 Lakh,267000
MG Hector Hybrid Sharp MT,21549,Petrol,Manual,1,2020,1248,5,13.39 Lakh,1339000
BMW X5 xDrive 30d,85000,Diesel,Automatic,2,2015,1799,5,29.75 Lakh,2975000
Maruti Vitara Brezza VDi Option,90468,Diesel,Manual,1,2016,1497,5,5.90 Lakh,590000
Honda Civic ZX BSIV,20900,Petrol,Automatic,1,2019,1950,5,15.56 Lakh,1556000
Hyundai Creta SX,19234,Petrol,Manual,1,2021,1497,5,13.87 Lakh,1387000
Mercedes-Benz GLC Coupe 300d 4MATIC,24900,Diesel,Automatic,1,2021,1493,5,71.50 Lakh,7150000
Tata Nexon 1.5 Revotorq XZA Plus DualTone,73269,Diesel,Automatic,1,2018,1353,5,8.75 Lakh,875000
Kia Seltos HTX Plus D,48101,Diesel,Manual,1,2020,1997,5,15.25 Lakh,1525000
Kia Seltos GTX Plus,24001,Petrol,Manual,1,2020,1999,7,14.95 Lakh,1495000
Jaguar XF 2.0 Petrol Prestige,7500,Petrol,Automatic,1,2020,1956,5,47 Lakh,4700000
Hyundai Alcazar Platinum 7-Seater,9701,Petrol,Manual,1,2022,999,5,19.49 Lakh,1949000
Tata Harrier XZA AT,27133,Diesel,Automatic,1,2021,4461,7,19.90 Lakh,1990000
Renault KWID Climber 1.0 AMT Opt,18270,Petrol,Automatic,1,2022,1373,5,5.25 Lakh,525000
Toyota Land Cruiser VX,56000,Diesel,Automatic,1,2018,1197,5,1.58 Crore,15800000
Maruti Ciaz VXi,50001,Petrol,Manual,1,2015,1197,5,5.50 Lakh,550000
Maruti Swift VXI 2018,56681,Petrol,Manual,1,2018,1197,5,5.60 Lakh,560000
Maruti Baleno Alpha,2755,Petrol,Manual,1,2022,2179,7,9.80 Lakh,980000
Maruti Baleno 1.2 Alpha,46201,Petrol,Manual,1,2017,1197,5,6.50 Lakh,650000
Mahindra XUV500 W10 2WD,85001,Diesel,Manual,1,2016,1993,5,9.50 Lakh,950000
Hyundai Grand i10 AT Asta,64836,Petrol,Automatic,1,2015,1197,5,4.65 Lakh,465000
Mercedes-Benz C-Class C 220d,4000,Diesel,Automatic,1,2022,1353,5,62 Lakh,6200000
Hyundai Grand i10 Nios AMT Sportz,24057,Petrol,Automatic,1,2020,1956,7,6.90 Lakh,690000
Hyundai Creta SX Turbo Dualtone,49559,Petrol,Automatic,1,2020,1497,5,16.95 Lakh,1695000
Tata New Safari XZA Plus AT,10289,Diesel,Automatic,1,2022,1956,5,23.50 Lakh,2350000
Honda City i VTEC CVT VX,64000,Petrol,Automatic,1,2016,1451,5,7.75 Lakh,775000
MG Hector Smart Diesel MT BSIV,54001,Diesel,Manual,2,2019,1798,5,14.50 Lakh,1450000
MG Hector Sharp DCT,27779,Petrol,Automatic,1,2021,1396,5,18.25 Lakh,1825000
Skoda Octavia 1.8 TSI AT Style Plus,70000,Petrol,Automatic,1,2017,2499,5,13.49 Lakh,1349000
Hyundai Creta 1.4 CRDi S,70000,Diesel,Manual,1,2017,1498,5,8.35 Lakh,835000
Lexus NX 300h Luxury,49000,Petrol,Automatic,1,2019,2925,5,48 Lakh,4800000
Volkswagen Polo 1.5 TDI Trendline,115000,Diesel,Manual,1,2016,1462,6,4.10 Lakh,410000
Mercedes-Benz S-Class S 350 d,13000,Diesel,Automatic,2,2014,1353,5,47.75 Lakh,4775000
Maruti XL6 Alpha AT,35000,Petrol,Automatic,1,2021,1798,5,12 Lakh,1200000
Kia Seltos GTX Plus DCT,3900,Petrol,Automatic,2,2021,2925,7,18.95 Lakh,1895000
Toyota Corolla Altis G AT,63000,Petrol,Automatic,1,2014,1968,5,8.95 Lakh,895000
Mercedes-Benz GLS 400d 4MATIC,15000,Diesel,Automatic,2,2020,2143,5,1.17 Crore,11700000
Audi A4 2.0 TDI,60000,Diesel,Automatic,1,2014,1998,5,11.49 Lakh,1149000
Mercedes-Benz C-Class C 220 CDI Avantgarde,23000,Diesel,Automatic,1,2013,2993,5,12.45 Lakh,1245000
BMW 5 Series 530i M Sport,6000,Petrol,Automatic,1,2022,1968,5,66 Lakh,6600000
BMW X5 xDrive 30d xLine,25000,Diesel,Automatic,1,2020,1950,5,83 Lakh,8300000
Audi Q3 2.0 TDI Quattro Premium Plus,64000,Diesel,Automatic,2,2014,1461,5,12.50 Lakh,1250000
Mercedes-Benz C-Class Progressive C 200,17000,Petrol,Automatic,1,2018,2184,4,36 Lakh,3600000
Renault Duster 110PS Diesel RxS AMT,40000,Diesel,Automatic,2,2016,1198,5,6.95 Lakh,695000
Mahindra Thar LX 4-Str Convert Top Diesel AT,30000,Diesel,Automatic,1,2020,1451,5,18.75 Lakh,1875000
Honda Brio S MT,79000,Petrol,Manual,1,2012,1199,5,2.60 Lakh,260000
MG Hector Sharp DCT,26000,Petrol,Automatic,1,2020,2967,7,17 Lakh,1700000
Honda Amaze S Petrol,25102,Petrol,Manual,1,2019,1198,5,6.40 Lakh,640000
Audi Q7 45 TDI Quattro Technology,65000,Diesel,Automatic,1,2017,1197,5,46 Lakh,4600000
Volkswagen Polo Petrol Comfortline 1.2L,35000,Petrol,Manual,1,2014,1991,5,3.90 Lakh,390000
Hyundai Grand i10 Magna,33000,Petrol,Manual,2,2014,2987,7,3.40 Lakh,340000
Mercedes-Benz GLC 300 4MATIC Sport,29000,Petrol,Automatic,1,2019,1998,5,48.10 Lakh,4810000
Mercedes-Benz GLS 350d Grand Edition,45000,Diesel,Automatic,2,2016,2499,5,59.50 Lakh,5950000
BMW X3 xDrive 30i Luxury Line,25500,Petrol,Automatic,1,2018,2755,7,45 Lakh,4500000
Lexus NX 300h Luxury,48000,Petrol,Automatic,1,2019,1995,5,48.25 Lakh,4825000
Toyota Fortuner 2.8 4WD MT BSIV,100000,Diesel,Manual,1,2017,1498,5,24.45 Lakh,2445000
BMW 5 Series 520d Luxury Line,29000,Diesel,Automatic,1,2019,1198,5,48 Lakh,4800000
Nissan Sunny XV,83000,Petrol,Manual,1,2012,2498,7,2.85 Lakh,285000
Nissan Micra XV,57000,Petrol,Manual,1,2011,2143,5,2 Lakh,200000
Mahindra Thar 4X4,59000,Diesel,Manual,2,2014,2179,5,5.90 Lakh,590000
Mercedes-Benz GLE 250d,45000,Diesel,Automatic,1,2019,2179,5,56 Lakh,5600000
Land Rover Range Rover Evoque 2.2L Prestige,69000,Diesel,Automatic,2,2014,2987,7,25.90 Lakh,2590000
Land Rover Range Rover Evoque 2.2L Prestige,69000,Diesel,Automatic,1,2015,5950,4,29.90 Lakh,2990000
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,79000,Diesel,Automatic,3,2015,2143,5,34.90 Lakh,3490000
Bentley Flying Spur W12,44000,Petrol,Automatic,1,2013,2967,5,68.90 Lakh,6890000
Mercedes-Benz GLC 220d 4MATIC Sport,69000,Diesel,Automatic,1,2017,2755,7,38.90 Lakh,3890000
Audi A6 3.0 TDI Quattro Premium Plus,68000,Diesel,Automatic,2,2013,1796,5,11.25 Lakh,1125000
Toyota Fortuner 2.8 2WD MT BSIV,60000,Diesel,Manual,1,2019,2477,7,31 Lakh,3100000
Mercedes-Benz C-Class C 200 CGI Elegance,86000,Petrol,Automatic,1,2011,1197,5,8.25 Lakh,825000
Mitsubishi Pajero Sport 4X2 AT Dual Tone,39000,Diesel,Automatic,1,2017,1198,5,16.45 Lakh,1645000
Hyundai Grand i10 Nios Magna,12000,Petrol,Manual,2,2020,1999,5,6.25 Lakh,625000
Honda Amaze EX i-Vtech,85000,Petrol,Manual,1,2014,1248,5,3.60 Lakh,360000
Land Rover Discovery Sport TD4 HSE,120000,Diesel,Automatic,1,2016,2996,7,29.50 Lakh,2950000
Maruti SX4 S Cross Zeta DDiS 200 SH,90000,Diesel,Manual,1,2018,2993,5,7.51 Lakh,751000
Mercedes-Benz GLS 400 4MATIC,80000,Petrol,Automatic,1,2017,1248,5,62.50 Lakh,6250000
BMW X5 xDrive 30d Expedition,34000,Diesel,Automatic,1,2019,1451,6,56.50 Lakh,5650000
Maruti Ciaz VDi Plus,72000,Diesel,Manual,1,2015,1950,5,4.65 Lakh,465000
MG Hector Plus Sharp DCT,18000,Petrol,Automatic,1,2021,2143,5,19 Lakh,1900000
Mercedes-Benz C-Class Progressive C 200,11000,Petrol,Automatic,1,2021,1595,5,47.90 Lakh,4790000
Mercedes-Benz E-Class E250 CDI Avantgarde,60625,Diesel,Automatic,2,2016,1197,5,25.90 Lakh,2590000
Mercedes-Benz A Class A180 Sport,68000,Petrol,Automatic,1,2017,4663,5,17 Lakh,1700000
Maruti Baleno 1.2 CVT Delta,75000,Petrol,Automatic,1,2016,1968,5,5.25 Lakh,525000
Mercedes-Benz S-Class S 500 L,70000,Petrol,Automatic,2,2015,2987,7,49 Lakh,4900000
Audi Q3 2.0 TDI Quattro Premium Plus,73000,Diesel,Automatic,1,2015,1968,5,15.89 Lakh,1589000
Mercedes-Benz GLS 350d 4MATIC,65000,Diesel,Automatic,1,2017,2995,5,58.85 Lakh,5885000
Audi Q3 35 TDI Quattro Premium Plus,70011,Diesel,Automatic,1,2015,2755,7,17.50 Lakh,1750000
Land Rover Range Rover 3.0 Petrol LWB Vogue BSIV,40000,Petrol,Automatic,1,2019,1968,5,1.92 Crore,19200000
Toyota Innova Crysta 2.8 ZX AT BSIV,67011,Diesel,Automatic,1,2017,1497,5,17.50 Lakh,1750000
Skoda Yeti Ambition 4X2,103000,Diesel,Manual,1,2013,1998,5,3.25 Lakh,325000
Honda City i-VTEC CVT ZX,50000,Petrol,Automatic,2,2017,1197,5,9.49 Lakh,949000
Volvo XC60 B5 Inscripition,7000,Petrol,Automatic,1,2022,3198,7,68.50 Lakh,6850000
Maruti Swift Dzire VXI 1.2,30000,Petrol,Manual,1,2019,1991,5,6.40 Lakh,640000
Ford Endeavour Titanium Plus 4X4,44000,Diesel,Automatic,1,2018,1353,5,31.49 Lakh,3149000
Mercedes-Benz GLC 300 4MATIC Sport,28500,Petrol,Automatic,1,2019,1248,5,48 Lakh,4800000
Hyundai Creta SX Opt Turbo,8000,Petrol,Automatic,1,2021,1497,5,19.75 Lakh,1975000
Maruti Swift VDI,60000,Diesel,Manual,1,2019,1197,5,5.90 Lakh,590000
Honda City V AT,70000,Petrol,Automatic,2,2012,1995,5,3.94 Lakh,394000
Maruti Ignis 1.2 Alpha BSIV,80000,Petrol,Manual,1,2018,1497,5,4.35 Lakh,435000
BMW X1 sDrive 20d xLine,25000,Diesel,Automatic,1,2019,796,5,30 Lakh,3000000
Honda City V MT,2000,Petrol,Manual,1,2022,2694,7,10.50 Lakh,1050000
Maruti Alto 800 LXI,35000,Petrol,Manual,1,2018,2987,5,3.20 Lakh,320000
Toyota Innova Crysta 2.7 ZX AT,26000,Petrol,Automatic,1,2018,2184,4,20 Lakh,2000000
Maserati Ghibli Diesel BSIV,12000,Diesel,Automatic,1,2016,1197,5,66 Lakh,6600000
Mahindra Thar LX 4-Str Convert Top Diesel AT,13001,Diesel,Automatic,1,2022,2143,5,17.75 Lakh,1775000
Hyundai Xcent 1.2 VTVT S,60000,Petrol,Manual,2,2019,1199,5,4.75 Lakh,475000
Mercedes-Benz C-Class C 220 CDI Avantgarde,37000,Diesel,Automatic,2,2015,2498,6,21.50 Lakh,2150000
Honda Jazz 1.2 V AT i VTEC,27200,Petrol,Automatic,1,2017,1462,5,6.90 Lakh,690000
Mahindra Thar CRDe,46365,Diesel,Manual,1,2017,1461,5,7.72 Lakh,772000
Maruti Ciaz Alpha BSIV,82496,Petrol,Manual,1,2019,1248,5,8.72 Lakh,872000
Renault Duster 110PS Diesel RxL AMT,73656,Diesel,Automatic,1,2016,1493,7,6.51 Lakh,651000
Maruti Ciaz ZDi SHVS,92530,Diesel,Manual,1,2016,1368,5,5.43 Lakh,543000
Mahindra TUV 300 mHAWK100 T8,68364,Diesel,Manual,2,2017,1197,5,6.58 Lakh,658000
Jeep Compass 1.4 Sport,30224,Petrol,Manual,1,2018,1462,5,12.61 Lakh,1261000
Maruti Baleno 1.2 Alpha,88658,Petrol,Manual,1,2017,2498,6,5.85 Lakh,585000
Maruti Vitara Brezza ZXI,26396,Petrol,Manual,1,2020,998,5,10.53 Lakh,1053000
Mahindra Thar CRDe,60020,Diesel,Manual,1,2017,1462,5,7.46 Lakh,746000
Maruti Alto K10 2010-2014 VXI,55107,Petrol,Manual,1,2014,796,5,2.68 Lakh,268000
Maruti Ciaz Alpha AT,3925,Petrol,Automatic,1,2022,1197,5,12.43 Lakh,1243000
Maruti Alto 800 LXI,21949,Petrol,Manual,1,2017,1598,5,3.23 Lakh,323000
Maruti Swift Dzire VXI,41899,Petrol,Manual,1,2016,1497,5,5 Lakh,500000
Nissan Terrano XL P,30000,Petrol,Manual,1,2018,2400,5,7.25 Lakh,725000
Honda City i-VTEC V,28000,Petrol,Manual,1,2018,1950,5,8.65 Lakh,865000
Volvo XC60 D5 Inscription,20000,Diesel,Automatic,1,2021,1950,5,61 Lakh,6100000
Mercedes-Benz GLC 220d 4MATIC,24000,Diesel,Automatic,1,2020,1798,5,56.50 Lakh,5650000
Mercedes-Benz GLE 300d,13000,Diesel,Automatic,1,2021,998,5,89 Lakh,8900000
Skoda Superb Style 1.8 TSI AT,54000,Petrol,Automatic,1,2017,1248,5,21.75 Lakh,2175000
Maruti Alto K10 VXI,30555,Petrol,Manual,1,2016,1197,5,3.15 Lakh,315000
Maruti Ciaz VDi Plus SHVS,119878,Diesel,Manual,1,2015,1248,5,4.78 Lakh,478000
